                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 2.7051,                 5.0271,                0.95632,                 0.4094,                0.56034,                 0.4357,                 0.1358,                 2.5239,                 4.3511,                0.91514,             8.8561e-05,             8.8561e-05,             8.8561e-05
                    129,                 2.7826,                 5.1329,                0.96046,                0.41179,                0.56466,                0.42663,                0.14301,                 2.5369,                 4.3838,                0.91329,             8.8328e-05,             8.8328e-05,             8.8328e-05
                    130,                 2.7725,                 4.9332,                0.94966,                0.43951,                0.55771,                0.45436,                0.14026,                 2.6218,                 4.3833,                0.91677,             8.8094e-05,             8.8094e-05,             8.8094e-05
                    131,                  2.781,                 5.0406,                0.95918,                0.47477,                0.50862,                0.43361,                 0.1366,                 2.6173,                 4.3197,                 0.9197,              8.786e-05,              8.786e-05,              8.786e-05
                    132,                 2.6928,                 4.8033,                0.95315,                0.42652,                0.53448,                0.47184,                0.15206,                 2.5557,                  4.284,                0.91328,             8.7627e-05,             8.7627e-05,             8.7627e-05
                    133,                 2.7293,                  5.343,                 0.9638,                0.44992,                0.56408,                0.47711,                0.15574,                 2.5104,                 4.2348,                0.91147,             8.7393e-05,             8.7393e-05,             8.7393e-05
                    134,                 2.6717,                 4.8377,                0.93246,                0.41902,                0.58621,                 0.4374,                0.15217,                 2.4928,                 4.2438,                0.90924,              8.716e-05,              8.716e-05,              8.716e-05
                    135,                  2.759,                 4.8411,                0.96972,                0.48524,                0.48276,                 0.4274,                0.13998,                  2.494,                 4.2821,                0.91855,             8.6926e-05,             8.6926e-05,             8.6926e-05
                    136,                  2.699,                 5.1021,                0.95139,                 0.5179,                0.55172,                0.48422,                 0.1604,                 2.4625,                 4.1866,                 0.9077,             8.6692e-05,             8.6692e-05,             8.6692e-05
                    137,                 2.8018,                 4.9813,                0.95671,                0.47349,                0.54741,                 0.4847,                0.16506,                 2.4423,                  4.179,                 0.9073,             8.6459e-05,             8.6459e-05,             8.6459e-05
                    138,                 2.6052,                 4.9375,                0.94641,                0.42438,                0.61638,                0.47295,                 0.1553,                 2.4547,                 4.1629,                0.91092,             8.6225e-05,             8.6225e-05,             8.6225e-05
                    139,                  2.723,                 4.9264,                0.95551,                0.46718,                0.58202,                0.49136,                0.16055,                  2.452,                 4.1421,                0.90703,             8.5991e-05,             8.5991e-05,             8.5991e-05
                    140,                 2.6625,                 4.7258,                0.93853,                0.51355,                0.52155,                0.49403,                0.16903,                 2.4553,                 4.0942,                0.91378,             8.5758e-05,             8.5758e-05,             8.5758e-05
                    141,                 2.6546,                 4.7819,                0.93471,                0.49845,                0.53547,                0.50016,                0.16682,                 2.4782,                 4.1224,                0.91054,             8.5524e-05,             8.5524e-05,             8.5524e-05
                    142,                  2.671,                 4.7836,                0.93606,                0.42614,                0.62931,                0.46682,                0.15394,                 2.4393,                 4.1188,                0.91185,              8.529e-05,              8.529e-05,              8.529e-05
                    143,                 2.6758,                 4.7669,                0.94248,                0.47894,                0.59483,                0.48773,                0.17885,                 2.4116,                 4.1036,                0.90839,             8.5057e-05,             8.5057e-05,             8.5057e-05
                    144,                 2.6635,                 4.7144,                0.94927,                0.49905,                0.53017,                0.47931,                0.17859,                 2.4522,                 4.0695,                 0.9084,             8.4823e-05,             8.4823e-05,             8.4823e-05
                    145,                 2.6382,                 4.8186,                0.94899,                0.48052,                0.56616,                0.47813,                0.15899,                 2.4585,                 4.0907,                0.90938,             8.4589e-05,             8.4589e-05,             8.4589e-05
                    146,                 2.7058,                 4.7305,                0.93931,                0.48551,                 0.5819,                0.49027,                0.17376,                 2.3888,                 4.0477,                 0.9028,             8.4356e-05,             8.4356e-05,             8.4356e-05
                    147,                 2.6327,                 4.5898,                0.95517,                0.47863,                0.55603,                0.49629,                0.17278,                 2.4285,                 4.0238,                0.90889,             8.4122e-05,             8.4122e-05,             8.4122e-05
                    148,                 2.7199,                 4.7019,                0.95149,                0.44645,                0.59793,                0.47803,                0.16607,                  2.436,                 3.9702,                0.91089,             8.3889e-05,             8.3889e-05,             8.3889e-05
