date,Temp,Rain,RH,WD,WS,Solar,Lag1,Pak_PM10
3-Nov-11,12.5,0,71.48,267.13,1.43,89.2,10.72,11.75
4-Nov-11,19.33,0,59.76,239.87,1.46,361.46,11.75,13.26
5-Nov-11,16.71,0,68.59,214.68,2.25,409.77,13.26,19.06
6-Nov-11,13.5,0.06,73.18,229.22,2.59,106.78,19.06,10.91
7-Nov-11,20.42,0,66.81,215.33,2.85,192.13,10.91,14.31
8-Nov-11,18.29,0,66.69,213.75,1.26,228.65,14.31,11.44
9-Nov-11,10.88,0,66.35,159.39,0.64,145.63,11.44,8.55
10-Nov-11,18.04,0,67.55,204.51,1.66,290.42,8.55,13.24
11-Nov-11,20.83,0,66.24,190.51,0.99,358.91,13.24,8.45
12-Nov-11,18.75,0,65.46,196.8,1.39,198.95,8.45,9.43
13-Nov-11,14.46,0,66.39,199.98,0.66,204.98,9.43,9.86
14-Nov-11,17.23,0,70.87,224.55,2.95,253.73,9.86,12.29
15-Nov-11,19.04,0,64.79,143.88,0.5,302.48,12.29,14.65
16-Nov-11,17.58,0,70.6,108.34,0.65,340.52,14.65,22.69
17-Nov-11,18.42,0,65.66,200.82,0.45,220.58,22.69,22.91
18-Nov-11,23.08,0,64.37,109.62,1.27,338.79,22.91,20.76
19-Nov-11,17.58,0,66.35,77.95,0.66,361.31,20.76,22.21
20-Nov-11,15.63,0,63.84,224.07,1.65,145.7,22.21,17.2
21-Nov-11,15.5,0,68.44,178.85,1.71,291.1,17.2,18.33
22-Nov-11,15.21,0,60.46,260.93,1.17,242.26,18.33,24.99
23-Nov-11,14.58,0,68.51,183.76,1.06,222.6,24.99,15.31
24-Nov-11,23.17,0,62.61,106.59,0.94,320.38,15.31,18.87
25-Nov-11,22.5,0,62.46,144.91,0.61,249.06,18.87,15.27
26-Nov-11,17.08,0,70.43,72.92,0.84,69.28,15.27,16.24
27-Nov-11,19.92,0,61.26,170.66,0.46,287.28,16.24,25.22
28-Nov-11,14.25,0,66.4,237.45,0.68,107.61,25.22,15.8
29-Nov-11,16.83,0,71.18,210.66,1.87,206.06,15.8,12.87
30-Nov-11,12.96,0.01,71.75,218.6,1.72,108.83,12.87,13.68
1-Dec-11,9.92,0,78.55,235.2,1.47,131.48,13.68,14.1
2-Dec-11,15.29,0,67.77,314.41,1.2,123.15,14.1,13.03
3-Dec-11,10.25,0,69.45,183.15,0.74,122.8,13.03,17.75
4-Dec-11,10.92,0,67.51,160.33,0.51,188.8,17.75,15.54
5-Dec-11,11.71,0,71.66,204.44,0.76,137.62,15.54,5.12
6-Dec-11,19.17,0,64.6,253.48,1.68,238.85,5.12,7.63
7-Dec-11,16.63,0.03,68.35,290.33,2.4,312.47,7.63,12.21
8-Dec-11,19.29,0.05,64.15,209.23,2.22,386.09,12.21,14.16
9-Dec-11,17.08,0,61.92,201.64,0.75,381.34,14.16,15.73
10-Dec-11,15.67,0,66.42,263.25,1.67,244.5,15.73,11.64
11-Dec-11,19.5,0,68.33,203.49,2.31,274.62,11.64,13.62
12-Dec-11,14.08,0.01,68.79,232.17,1.41,98.14,13.62,10.19
13-Dec-11,22.13,0,70.4,64.21,0.64,327.29,10.19,8.71
14-Dec-11,9.58,0,76.48,189.99,0.98,190.45,8.71,13.95
15-Dec-11,23.08,0,66.88,110.03,0.98,354.32,13.95,10.12
16-Dec-11,20.29,0,70.56,228.41,1.95,292.34,10.12,13.29
17-Dec-11,17.58,0,75.62,358.7,1.03,353.31,13.29,8.85
18-Dec-11,12.58,0,70.07,92.66,1.2,265.5,8.85,3.95
19-Dec-11,10.5,0.09,70.01,222.89,2.71,103.29,3.95,6.53
20-Dec-11,18.08,0,67.5,219.94,0.39,62.76,6.53,8.05
21-Dec-11,17.88,0,68.8,189.55,1.43,247.72,8.05,8.21
22-Dec-11,16.25,0,68.67,192.58,0.97,321.71,8.21,7.51
23-Dec-11,15.46,0,60.55,153.5,0.69,275.87,7.51,5.92
24-Dec-11,19.75,0,74.15,249.35,0.99,263.57,5.92,8.2
25-Dec-11,17.17,0,68.07,107.35,0.38,247.54,8.2,7.84
26-Dec-11,17.42,0,61.11,191.78,1.59,366.21,7.84,6.4
27-Dec-11,13,0.04,70.75,209.48,1.68,104.18,6.4,9.63
28-Dec-11,15.46,0.03,71.34,228.63,4.33,140.01,9.63,14.32
29-Dec-11,21.46,0,69.82,101.92,0.43,175.83,14.32,20.39
